,player,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3,GMM_Cluster
676,Scoville Jenkins,0.9999933517170627,4.898124037048466e-16,6.646594234769383e-06,1.6887014201955646e-09,0
677,Sebastian Baez,5.9395517517802335e-55,0.9903199500316033,3.150562932749291e-05,0.00964854433906902,1
678,Sebastian Fanselow,0.9999886185409161,5.136178025918161e-24,1.4340415857954497e-07,1.1238054925709768e-05,0
679,Sebastian Korda,0.0003149787340269647,0.9995987608556416,1.5262389493832e-05,7.0998020837515e-05,1
680,Sebastian Ofner,0.3522460216400673,0.644052770377105,7.728573468022736e-05,0.003623922248147532,1
681,Sebastien Grosjean,0.00038482837552995184,0.997982763453527,1.9307743807804164e-05,0.001613100427135336,1
682,Seong Chan Hong,0.9997213800628941,6.366476266293425e-05,0.0001537923735983763,6.116280084441922e-05,0
683,Sergey Fomin,0.0,3.9635336798934403e-154,0.00015131181833707288,0.9998486881816624,3
684,Sergiy Stakhovsky,3.2631220645203966e-25,0.004172649949967617,0.9958273500500258,6.744966120465518e-15,2
685,Shintaro Mochizuki,0.9951337671028246,1.910134674188625e-11,0.004846764746531977,1.946813154232605e-05,0
686,Sho Katayama,0.9999659727811185,6.106823680173468e-22,3.1752794714865803e-06,3.0851939409598904e-05,0
687,Sho Shimabukuro,0.9998289147133019,2.408643860744117e-16,1.5456900246674573e-09,0.0001710837410080189,0
688,Simone Bolelli,0.9970913950694026,1.5615159092259206e-06,0.00015675699247589184,0.0027502864222122077,0
689,Sjeng Schalken,0.9531483206108724,0.04620490119570471,9.417028297638847e-05,0.0005526079104463859,0
690,Somdev Devvarman,0.9242026914780175,0.07442304457764978,0.0003851315030680038,0.0009891324412649213,0
691,Soon Woo Kwon,2.951437635700046e-12,0.9991297351041197,8.408176975193452e-06,0.0008618567159535827,1
692,Stan Wawrinka,6.093942416889328e-10,0.9997496897764675,9.459956405050312e-06,0.00024084965773307244,1
693,Stefan Edberg,0.0,2.0881953273609386e-155,1.0,1.4120974540320801e-114,2
694,Stefan Koubek,0.9991056742078293,5.112080212778767e-10,0.0008791448069946438,1.5180473968101846e-05,0
695,Stefan Kozlov,8.067059910962326e-87,1.523951640668538e-05,0.03953775269972985,0.9604470077838632,3
696,Stefano Napolitano,0.9999994280185761,1.0313746902513328e-33,5.635028699802561e-07,8.478554219609884e-09,0
697,Stefano Travaglia,0.998889972079953,8.305542952584816e-12,2.883452154679858e-06,0.0011071444595869841,0
698,Stefanos Sakellaridis,0.9966349023720715,8.661758683517407e-05,0.003174559892926334,0.00010392014816700062,0
699,Stefanos Tsitsipas,0.008430495868459613,0.9913588279939887,3.19796209335257e-05,0.00017869651661813778,1
700,Stephane Robert,0.0,2.2302859184832405e-05,0.0032983926804434835,0.9966793044603713,3
701,Steve Darcis,0.09212121952939663,0.907011578401492,8.240971330206953e-06,0.0008589610977809779,1
702,Steve Johnson,3.827173859869428e-13,0.995612768882559,0.0002105160555259269,0.004176715061532374,1
703,Steven Diez,1.3287729991993645e-291,0.0051699502707640505,0.00014318520394275937,0.9946868645252932,3
